Episode,Total Rewards,Experience,Priority,Decay Rate,Exploration Rate,Convergence Speed
285,53.0,53,0.06626128733764479,2.138865964899539e-62,0.05842566596450083,53.0
286,13.0,13,0.026892294301778138,1.2972877847274156e-62,0.057844320874838456,13.0
287,22.0,22,0.06890488401643972,7.868448159078602e-63,0.05726876026546736,22.0
288,22.0,22,0.07903390598496787,4.7724550528406004e-63,0.0566989265798469,22.0
289,16.0,16,0.051744957984548846,2.8946403116483003e-63,0.056134762834133725,16.0
290,14.0,14,0.08441169595249229,1.7556880978548265e-63,0.05557621261148306,14.0
291,21.0,21,0.10059401575737459,1.0648786602415064e-63,0.05502322005640723,21.0
292,13.0,13,0.0461874669452576,6.458815563101861e-64,0.05447572986918986,13.0
293,30.0,30,0.0617817875664755,3.917469664450395e-64,0.05393368730035602,30.0
294,13.0,13,0.0709486070870788,2.3760654599833272e-64,0.053397038145197084,13.0
295,18.0,18,0.05791755943277149,1.4411565509640892e-64,0.05286572873835037,18.0
296,11.0,11,0.0713828025651815,8.741056336054323e-65,0.05233970594843238,11.0
297,14.0,14,0.04721496750652793,5.301718666092324e-65,0.05181891717272583,14.0
298,10.0,10,0.04691190562092884,3.21565492015576e-65,0.05130331033191911,10.0
299,18.0,18,0.08325068547343657,1.9503933001302485e-65,0.0507928338648985,18.0
300,14.0,14,0.03345551026831548,1.1829733350271e-65,0.050287436723591865,14.0
301,21.0,21,0.07830398799318103,7.175095973164411e-66,0.049787068367863944,21.0
302,10.0,10,0.08676285530157138,4.351915694104869e-66,0.04929167876046215,10.0
303,17.0,17,0.01649336944090906,2.6395702969591894e-66,0.04880121836201296,17.0
304,15.0,15,0.07561071445465836,1.600980313572529e-66,0.04831563812606777,15.0
305,16.0,16,0.07021108040928324,9.710436457780846e-67,0.04783488949419837,16.0
306,20.0,20,0.08519632545921403,5.889677430835424e-67,0.04735892439114091,20.0
307,9.0,9,0.04721984196127903,3.572269937619218e-67,0.046887695219988486,9.0
308,11.0,11,0.04548543537702297,2.166691241935792e-67,0.04642115485743125,11.0
309,14.0,14,0.052120951683458226,1.314164668364901e-67,0.045959256649044204,14.0
310,23.0,23,0.07543895915708351,7.970811632743974e-68,0.04550195440462157,23.0
311,20.0,20,0.06595550046250229,4.834541638053336e-68,0.0450492023935578,20.0
312,20.0,20,0.015904835220199313,2.9322977291366854e-68,0.044600955340274535,20.0
313,22.0,22,0.0547748285895105,1.7785284761271306e-68,0.04415716841969286,22.0
314,28.0,28,0.08590450810272253,1.078732049943093e-68,0.04371779725275094,28.0
315,11.0,11,0.0265590599250257,6.542840619051457e-69,0.043282797901965896,11.0
316,11.0,11,0.040519991377889024,3.968433437067895e-69,0.04285212686704019,11.0
317,26.0,26,0.0676316713480589,2.4069765506104637e-69,0.042425741080511385,26.0
318,36.0,36,0.04838117748973492,1.4599050751546033e-69,0.04200359790344555,36.0
319,11.0,11,0.0609702056982925,8.854771883513433e-70,0.04158565512117316,11.0
320,9.0,9,0.0310482582121807,5.37069063211228e-70,0.04117187093906774,9.0
321,11.0,11,0.06955313339950728,3.257488532207521e-70,0.04076220397836621,11.0
322,15.0,15,0.027553180493438124,1.975766668446166e-70,0.04035661327203115,15.0
323,10.0,10,0.026403459831267153,1.1983630608508849e-70,0.039955058260653896,10.0
324,13.0,13,0.07264269862159545,7.268439378731378e-71,0.039557498788398725,13.0
