Episode,Total Rewards,Experience,Priority,Convergence Speed,Exploration Rate,Decay Rate
221,5209.0,5209,215.7856341823866,11,0.011000000000000003,0.004524886877828055
222,5310.0,5310,216.92720031754843,100,0.011000000000000003,0.0045045045045045045
223,5323.0,5323,218.27369790866152,12,0.011000000000000003,0.004484304932735426
224,5352.0,5352,218.91749094908843,28,0.011000000000000003,0.004464285714285714
225,5367.0,5367,219.74487469272879,14,0.011000000000000003,0.0044444444444444444
226,5384.0,5384,220.11134709486123,16,0.011000000000000003,0.004424778761061947
227,5409.0,5409,220.92098985933654,24,0.011000000000000003,0.004405286343612335
228,5426.0,5426,221.87686971210354,16,0.011000000000000003,0.0043859649122807015
229,5462.0,5462,222.71746515503162,35,0.011000000000000003,0.004366812227074236
230,5471.0,5471,223.84025611504592,8,0.011000000000000003,0.004347826086956522
231,5501.0,5501,224.70192481032961,29,0.011000000000000003,0.004329004329004329
232,5520.0,5520,225.38418782126786,18,0.011000000000000003,0.004310344827586207
233,5531.0,5531,226.6926631219782,10,0.011000000000000003,0.004291845493562232
234,5545.0,5545,228.04155938386617,13,0.011000000000000003,0.004273504273504274
235,5595.0,5595,228.29831545593748,49,0.011000000000000003,0.00425531914893617
236,5611.0,5611,229.10352396080617,15,0.011000000000000003,0.00423728813559322
237,5652.0,5652,230.3902699337507,40,0.011000000000000003,0.004219409282700422
238,5688.0,5688,230.84928473700427,35,0.011000000000000003,0.004201680672268907
239,5698.0,5698,231.80927672097,9,0.011000000000000003,0.0041841004184100415
240,5711.0,5711,232.07494970255266,12,0.011000000000000003,0.004166666666666667
241,5736.0,5736,232.8230235707432,24,0.011000000000000003,0.004149377593360996
242,5752.0,5752,233.57455613059966,15,0.011000000000000003,0.004132231404958678
243,5768.0,5768,234.04589166809689,15,0.011000000000000003,0.00411522633744856
244,5778.0,5778,234.57518448673505,9,0.011000000000000003,0.004098360655737705
245,5787.0,5787,235.82215192701338,8,0.011000000000000003,0.004081632653061225
246,5818.0,5818,237.30121340221842,30,0.011000000000000003,0.0040650406504065045
247,5842.0,5842,238.09583993235933,23,0.011000000000000003,0.004048582995951417
248,5851.0,5851,238.81284800490414,8,0.011000000000000003,0.004032258064516129
249,5871.0,5871,239.96848132058986,19,0.011000000000000003,0.004016064257028112
250,5900.0,5900,240.7059077010473,28,0.011000000000000003,0.004
251,5912.0,5912,241.98239069099523,11,0.011000000000000003,0.00398406374501992
252,5958.0,5958,242.89831473182298,45,0.011000000000000003,0.003968253968253968
253,5975.0,5975,243.78519955473166,16,0.011000000000000003,0.003952569169960474
254,5999.0,5999,245.18089928974817,23,0.011000000000000003,0.003937007874015748
255,6014.0,6014,246.70765993499276,14,0.011000000000000003,0.00392156862745098
256,6028.0,6028,247.4132195912342,13,0.011000000000000003,0.00390625
257,6041.0,6041,247.89148002426097,12,0.011000000000000003,0.0038910505836575876
258,6073.0,6073,249.55953556309754,31,0.011000000000000003,0.003875968992248062
259,6095.0,6095,250.69406193942254,21,0.011000000000000003,0.003861003861003861
260,6121.0,6121,252.07057340386174,25,0.011000000000000003,0.0038461538461538464
261,6145.0,6145,252.44137282869212,23,0.011000000000000003,0.0038314176245210726
262,6162.0,6162,253.32142034609137,16,0.011000000000000003,0.003816793893129771
263,6192.0,6192,253.8591863666688,29,0.011000000000000003,0.0038022813688212928
264,6205.0,6205,254.6940222659577,12,0.011000000000000003,0.003787878787878788
265,6215.0,6215,255.73208941377953,9,0.011000000000000003,0.0037735849056603774
266,6260.0,6260,256.89730600871854,44,0.011000000000000003,0.0037593984962406013
267,6285.0,6285,258.01671506404483,24,0.011000000000000003,0.003745318352059925
268,6302.0,6302,258.6592590684142,16,0.011000000000000003,0.0037313432835820895
269,6318.0,6318,259.80181506058113,15,0.011000000000000003,0.0037174721189591076
270,6345.0,6345,260.4191717666891,26,0.011000000000000003,0.003703703703703704
271,6357.0,6357,261.10245780372225,11,0.011000000000000003,0.0036900369003690036
272,6372.0,6372,262.42026895641476,14,0.011000000000000003,0.003676470588235294
273,6387.0,6387,264.1432925964332,14,0.011000000000000003,0.003663003663003663
274,6398.0,6398,265.14484368586795,10,0.011000000000000003,0.0036496350364963502
275,6421.0,6421,265.6963204643972,22,0.011000000000000003,0.0036363636363636364
276,6440.0,6440,266.9118489490392,18,0.011000000000000003,0.0036231884057971015
277,6456.0,6456,267.9917752385428,15,0.011000000000000003,0.0036101083032490976
278,6484.0,6484,269.1824171398555,27,0.011000000000000003,0.0035971223021582736
279,6499.0,6499,270.0382589285633,14,0.011000000000000003,0.0035842293906810036
280,6508.0,6508,270.8130640729228,8,0.011000000000000003,0.0035714285714285713
281,6520.0,6520,271.47039315335644,11,0.011000000000000003,0.0035587188612099642
282,6541.0,6541,272.83408302432207,20,0.011000000000000003,0.0035460992907801418
283,6558.0,6558,274.1673923717201,16,0.011000000000000003,0.0035335689045936395
284,6568.0,6568,275.5005912850642,9,0.011000000000000003,0.0035211267605633804
285,6578.0,6578,276.02582951582764,9,0.011000000000000003,0.0035087719298245615
286,6623.0,6623,276.9419349071714,44,0.011000000000000003,0.0034965034965034965
287,6633.0,6633,277.62535227767904,9,0.011000000000000003,0.003484320557491289
288,6657.0,6657,278.23773376664343,23,0.011000000000000003,0.003472222222222222
289,6677.0,6677,279.39555876414255,19,0.011000000000000003,0.0034602076124567475
290,6690.0,6690,280.20928319821627,12,0.011000000000000003,0.0034482758620689655
291,6756.0,6756,281.511502091708,65,0.011000000000000003,0.003436426116838488
292,6769.0,6769,282.3936173254501,12,0.011000000000000003,0.003424657534246575
293,6787.0,6787,283.87306554848806,17,0.011000000000000003,0.0034129692832764505
294,6806.0,6806,285.30384275297564,18,0.011000000000000003,0.003401360544217687
295,6822.0,6822,286.85127431353527,15,0.011000000000000003,0.003389830508474576
296,6849.0,6849,288.51301429780983,26,0.011000000000000003,0.0033783783783783786
297,6861.0,6861,289.4989810866354,11,0.011000000000000003,0.003367003367003367
298,6890.0,6890,290.6097788714035,28,0.011000000000000003,0.003355704697986577
299,6928.0,6928,292.0704063601688,37,0.011000000000000003,0.0033444816053511705
300,6944.0,6944,292.1440910605022,15,0.011000000000000003,0.0033333333333333335
301,6967.0,6967,293.40920477854786,22,0.011000000000000003,0.0033222591362126247
302,6983.0,6983,294.06482655743,15,0.011000000000000003,0.0033112582781456954
303,7004.0,7004,295.36603541356067,20,0.011000000000000003,0.0033003300330033004
304,7013.0,7013,296.8396418236696,8,0.011000000000000003,0.003289473684210526
